Age,Attrition,BusinessTravel,DailyRate,Department,DistanceHome,Education,HourlyRate,JobRole,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
44,0,Travel Rarely,1488,Sales,1,5,75,Sales Executive,4,3,1,3
35,0,Non-Travel,1097,Research & Development,11,2,79,Healthcare Representative,4,0,2,3
26,0,Travel Rarely,1443,Sales,23,3,47,Sales Executive,2,2,0,0
33,0,Travel Frequently,515,Research & Development,1,2,98,Research Director,15,14,8,12
35,0,Travel Frequently,853,Sales,18,5,71,Sales Executive,9,8,1,8
35,0,Travel Rarely,1142,Research & Development,23,4,30,Laboratory Technician,2,2,2,2
31,0,Travel Rarely,655,Research & Development,7,4,48,Laboratory Technician,7,7,1,7
37,0,Travel Rarely,1115,Research & Development,1,4,51,Manufacturing Director,7,5,0,7
32,0,Travel Rarely,427,Research & Development,1,3,33,Manufacturing Director,9,8,7,8
38,0,Travel Frequently,653,Research & Development,29,5,50,Laboratory Technician,10,3,9,9
50,0,Travel Rarely,989,Research & Development,7,2,43,Research Director,27,3,13,8
59,0,Travel Rarely,1435,Sales,25,3,99,Sales Executive,21,16,7,9
36,0,Travel Rarely,1223,Research & Development,8,3,59,Healthcare Representative,17,14,12,8
55,0,Travel Rarely,836,Research & Development,8,3,33,Manager,5,0,0,2
36,0,Travel Frequently,1195,Research & Development,11,3,95,Manufacturing Director,6,5,0,3
45,0,Travel Rarely,1339,Research & Development,7,3,59,Research Scientist,1,0,0,0
35,0,Travel Frequently,664,Research & Development,1,3,79,Research Scientist,3,2,1,2
36,1,Travel Rarely,318,Research & Development,9,3,79,Research Scientist,1,0,0,0
59,0,Travel Frequently,1225,Sales,1,1,57,Sales Executive,4,3,1,3
29,0,Travel Rarely,1328,Research & Development,2,3,76,Research Scientist,5,4,0,4
31,0,Travel Rarely,1082,Research & Development,1,4,87,Research Scientist,1,1,1,0
32,0,Travel Rarely,548,Research & Development,1,3,66,Research Scientist,10,4,0,9
36,0,Travel Rarely,132,Research & Development,6,3,55,Laboratory Technician,1,0,0,0
31,0,Travel Rarely,746,Research & Development,8,4,61,Manufacturing Director,11,7,1,8
35,0,Travel Rarely,776,Sales,1,4,32,Sales Executive,15,13,2,8
45,0,Travel Rarely,193,Research & Development,6,4,52,Research Director,0,0,0,0
37,0,Travel Rarely,397,Research & Development,7,4,30,Research Director,5,2,0,2
46,0,Travel Rarely,945,Human Resources,5,2,80,Human Resources,4,2,0,2
30,0,Travel Rarely,852,Research & Development,1,1,55,Laboratory Technician,10,8,3,0
35,0,Travel Rarely,1214,Research & Development,1,3,30,Research Scientist,6,4,0,4
55,0,Travel Rarely,111,Sales,1,2,70,Sales Executive,1,0,1,0
38,0,Non-Travel,573,Research & Development,6,3,79,Research Scientist,13,11,1,9
34,0,Travel Rarely,1153,Research & Development,1,2,94,Manufacturing Director,5,2,1,3
56,0,Travel Rarely,1400,Research & Development,7,3,49,Manufacturing Director,6,4,0,2
23,0,Travel Rarely,541,Sales,2,1,62,Sales Representative,0,0,0,0
51,0,Travel Rarely,432,Research & Development,9,4,96,Laboratory Technician,4,2,0,3
30,0,Travel Rarely,288,Research & Development,2,3,99,Healthcare Representative,11,10,10,8
46,1,Travel Rarely,669,Sales,9,2,64,Sales Executive,9,8,4,7
40,0,Travel Frequently,530,Research & Development,1,4,78,Healthcare Representative,22,3,11,11
51,0,Travel Rarely,632,Sales,21,4,71,Sales Executive,10,7,1,0
30,0,Travel Rarely,1334,Sales,4,2,63,Sales Executive,11,8,2,7
46,0,Travel Frequently,638,Research & Development,1,3,40,Healthcare Representative,10,9,9,5
32,0,Travel Rarely,1093,Sales,6,4,87,Sales Executive,11,8,5,7
54,0,Travel Rarely,1217,Research & Development,2,4,60,Research Director,4,3,0,3
24,0,Travel Rarely,1353,Sales,3,2,33,Sales Executive,3,2,0,2
28,0,Non-Travel,120,Sales,4,3,43,Sales Executive,5,4,0,4
58,0,Travel Rarely,682,Sales,10,4,37,Sales Executive,37,10,1,8
44,0,Non-Travel,489,Research & Development,23,3,67,Laboratory Technician,3,2,1,2
37,1,Travel Rarely,807,Human Resources,6,4,63,Human Resources,3,2,0,2
32,0,Travel Rarely,827,Research & Development,1,1,71,Research Scientist,1,0,0,0
20,1,Travel Frequently,871,Research & Development,6,3,66,Laboratory Technician,1,0,1,0
34,0,Travel Rarely,665,Research & Development,6,4,41,Research Scientist,16,13,2,10
37,0,Non-Travel,1040,Research & Development,2,2,100,Healthcare Representative,1,0,0,0
59,0,Non-Travel,1420,Human Resources,2,4,32,Manager,3,2,2,2
50,0,Travel Frequently,1115,Research & Development,1,3,73,Research Director,8,3,0,7
25,1,Travel Rarely,240,Sales,5,3,46,Sales Executive,6,4,0,3
25,0,Travel Rarely,1280,Research & Development,7,1,64,Research Scientist,2,2,2,1
22,0,Travel Rarely,534,Research & Development,15,3,59,Laboratory Technician,0,0,0,0
51,0,Travel Frequently,1456,Research & Development,1,4,30,Healthcare Representative,13,12,12,8
34,1,Travel Frequently,658,Research & Development,7,3,66,Laboratory Technician,9,7,0,6
54,0,Non-Travel,142,Human Resources,26,3,30,Manager,5,3,4,4
24,0,Travel Rarely,1127,Research & Development,18,1,52,Laboratory Technician,5,3,1,2
34,0,Travel Rarely,1031,Research & Development,6,4,45,Research Scientist,1,0,0,0
37,0,Travel Rarely,1189,Sales,3,3,87,Sales Executive,5,3,1,3
34,0,Travel Rarely,1354,Research & Development,5,3,45,Manager,11,10,5,8
36,0,Travel Frequently,1467,Sales,11,2,92,Sales Executive,9,7,2,8
36,0,Travel Rarely,922,Research & Development,3,2,39,Laboratory Technician,1,0,0,0
43,0,Travel Frequently,394,Sales,26,2,92,Manager,25,12,4,12
30,0,Travel Frequently,1312,Research & Development,23,3,96,Research Scientist,10,7,0,9
33,0,Non-Travel,750,Sales,22,2,95,Sales Executive,7,7,0,7
56,1,Travel Rarely,441,Research & Development,14,4,72,Research Scientist,5,4,4,3
51,0,Travel Rarely,684,Research & Development,6,3,51,Research Director,20,18,15,15
31,1,Travel Rarely,249,Sales,6,4,76,Sales Executive,7,7,7,7
26,0,Travel Rarely,841,Research & Development,6,3,46,Research Scientist,5,4,4,3
58,1,Travel Rarely,147,Research & Development,23,4,94,Healthcare Representative,40,10,15,6
19,1,Travel Rarely,528,Sales,22,1,50,Sales Representative,0,0,0,0
22,0,Travel Rarely,594,Research & Development,2,1,100,Laboratory Technician,2,1,2,1
49,0,Travel Rarely,470,Research & Development,20,4,96,Manufacturing Director,15,11,5,11
43,0,Travel Frequently,957,Research & Development,28,3,72,Research Scientist,3,2,1,2
50,0,Travel Frequently,809,Sales,12,3,77,Sales Executive,2,2,2,1
31,1,Travel Rarely,542,Sales,20,3,71,Sales Executive,2,2,2,2
41,0,Travel Rarely,802,Sales,9,1,96,Sales Executive,9,7,0,7
26,0,Travel Rarely,1355,Human Resources,25,1,61,Human Resources,8,7,5,7
36,0,Travel Rarely,216,Research & Development,6,2,84,Manufacturing Director,3,2,0,1
51,1,Travel Frequently,1150,Research & Development,8,4,53,Manufacturing Director,4,2,0,3
39,0,Travel Rarely,1329,Sales,4,4,47,Sales Executive,15,11,5,9
25,0,Travel Rarely,959,Sales,28,3,41,Sales Executive,2,2,2,2
30,0,Travel Rarely,1240,Human Resources,9,3,48,Human Resources,11,9,4,7
32,1,Travel Rarely,1033,Research & Development,9,3,41,Laboratory Technician,5,4,0,4
45,0,Travel Rarely,1316,Research & Development,29,3,83,Research Scientist,6,5,0,3
38,0,Travel Rarely,364,Research & Development,3,5,32,Research Scientist,3,2,2,2
30,0,Travel Rarely,438,Research & Development,18,3,75,Research Scientist,5,4,0,4
32,0,Travel Frequently,689,Sales,9,2,35,Sales Executive,8,7,0,7
30,0,Travel Rarely,201,Research & Development,5,3,84,Research Scientist,3,2,2,2
30,0,Travel Rarely,1427,Research & Development,2,1,35,Laboratory Technician,5,3,1,2
41,0,Travel Frequently,857,Research & Development,10,3,91,Manager,7,6,7,7
41,0,Travel Rarely,933,Research & Development,9,4,94,Laboratory Technician,5,0,1,4
19,0,Travel Rarely,1181,Research & Development,3,1,79,Laboratory Technician,1,0,0,0
40,0,Travel Frequently,1395,Research & Development,26,3,54,Research Scientist,20,7,2,13
35,0,Travel Rarely,662,Sales,1,5,94,Sales Executive,10,8,0,6
53,0,Travel Rarely,1436,Sales,6,2,34,Sales Representative,7,7,4,5
45,0,Travel Rarely,194,Research & Development,9,3,60,Laboratory Technician,17,9,0,15
32,0,Travel Frequently,967,Sales,8,3,43,Sales Executive,9,8,3,7
29,0,Non-Travel,1496,Research & Development,1,1,41,Manufacturing Director,10,7,0,9
51,0,Travel Rarely,1169,Research & Development,7,4,34,Manufacturing Director,1,0,0,0
58,0,Travel Rarely,1145,Research & Development,9,3,75,Research Scientist,1,0,0,0
40,0,Travel Rarely,630,Sales,4,4,67,Sales Executive,12,11,2,11
34,0,Travel Frequently,303,Sales,2,4,75,Sales Representative,4,3,1,2
22,0,Travel Rarely,1256,Research & Development,19,1,80,Research Scientist,2,2,2,2
27,0,Non-Travel,691,Research & Development,9,3,57,Research Scientist,2,2,2,2
28,0,Travel Rarely,440,Research & Development,21,3,42,Research Scientist,5,2,0,2
57,0,Travel Rarely,334,Research & Development,24,2,83,Healthcare Representative,5,3,1,4
27,0,Non-Travel,1450,Research & Development,3,3,79,Research Scientist,1,1,0,1
50,0,Travel Rarely,1452,Research & Development,11,3,53,Manager,5,4,4,4
41,0,Travel Rarely,465,Research & Development,14,3,56,Research Scientist,9,8,1,8
30,0,Travel Rarely,1339,Sales,5,3,41,Sales Executive,10,9,7,4
38,0,Travel Rarely,702,Sales,1,4,59,Sales Executive,8,3,0,7
32,0,Travel Rarely,120,Research & Development,6,5,43,Research Scientist,5,4,1,4
27,0,Travel Rarely,1157,Research & Development,17,3,51,Research Scientist,5,2,1,1
19,1,Travel Frequently,602,Sales,1,1,100,Sales Representative,0,0,0,0
36,0,Travel Frequently,1480,Research & Development,3,2,30,Laboratory Technician,8,7,7,2
30,0,Non-Travel,111,Research & Development,9,3,66,Laboratory Technician,12,9,6,10
45,0,Travel Rarely,1268,Sales,4,2,30,Sales Executive,5,4,0,3
56,0,Travel Rarely,713,Research & Development,8,3,67,Research Scientist,2,2,2,2
33,0,Travel Rarely,134,Research & Development,2,3,90,Research Scientist,3,1,0,2
19,1,Travel Rarely,303,Research & Development,2,3,47,Laboratory Technician,1,0,1,0
46,0,Travel Rarely,526,Sales,1,2,92,Sales Executive,24,13,15,7
38,0,Travel Rarely,1380,Research & Development,9,2,75,Laboratory Technician,2,2,2,1
31,0,Travel Rarely,140,Research & Development,12,1,95,Research Scientist,4,2,0,2
34,0,Travel Rarely,629,Research & Development,27,2,95,Research Scientist,3,2,1,2
41,1,Travel Rarely,1356,Sales,20,2,70,Sales Representative,4,3,0,2
50,0,Travel Rarely,328,Research & Development,1,3,86,Laboratory Technician,3,2,0,2
53,0,Travel Rarely,1084,Research & Development,13,2,57,Manufacturing Director,4,2,1,3
33,0,Travel Rarely,931,Research & Development,14,3,72,Research Scientist,8,7,1,6
40,0,Travel Rarely,989,Research & Development,4,1,46,Manager,20,8,9,9
55,0,Travel Rarely,692,Research & Development,14,4,61,Research Director,24,15,2,15
34,0,Travel Frequently,1069,Research & Development,2,1,45,Manufacturing Director,10,9,1,9
51,0,Travel Rarely,313,Research & Development,3,3,98,Healthcare Representative,7,7,1,0
52,0,Travel Rarely,699,Research & Development,1,4,65,Manager,33,18,11,9
27,0,Travel Rarely,894,Research & Development,9,3,99,Research Scientist,7,7,0,3
35,1,Travel Rarely,556,Research & Development,23,2,50,Manufacturing Director,1,0,0,1
43,0,Non-Travel,1344,Research & Development,7,3,37,Research Scientist,5,4,2,2
45,0,Non-Travel,1195,Research & Development,2,2,65,Manager,20,8,11,8
37,0,Travel Rarely,290,Research & Development,21,3,65,Research Scientist,8,7,1,7
35,0,Travel Frequently,138,Research & Development,2,3,37,Laboratory Technician,6,2,1,2
42,0,Non-Travel,926,Research & Development,21,2,36,Manufacturing Director,5,3,0,2
38,0,Travel Rarely,1261,Research & Development,2,4,88,Manufacturing Director,1,0,0,0
38,0,Travel Rarely,1084,Research & Development,29,3,54,Manufacturing Director,7,7,1,7
27,0,Travel Frequently,472,Research & Development,1,1,60,Manufacturing Director,2,2,2,0
49,0,Non-Travel,1002,Research & Development,18,4,92,Manufacturing Director,7,7,1,7
34,0,Travel Frequently,878,Research & Development,10,4,43,Research Scientist,5,3,2,0
40,0,Travel Rarely,905,Research & Development,19,2,99,Laboratory Technician,7,2,3,7
38,1,Travel Rarely,1180,Research & Development,29,1,70,Healthcare Representative,1,0,0,0
29,1,Travel Rarely,121,Sales,27,3,35,Sales Executive,10,4,1,9
22,0,Travel Rarely,1136,Research & Development,5,3,60,Research Scientist,4,2,2,2
36,0,Travel Frequently,635,Research & Development,18,1,73,Laboratory Technician,8,1,1,7
40,0,Non-Travel,1151,Research & Development,9,5,63,Healthcare Representative,3,2,0,2
46,0,Travel Rarely,644,Research & Development,1,4,97,Healthcare Representative,4,2,0,3
32,1,Travel Rarely,1045,Sales,4,4,32,Sales Executive,14,8,9,8
30,0,Non-Travel,829,Research & Development,1,1,88,Manufacturing Director,11,8,5,8
27,0,Travel Frequently,1242,Sales,20,3,90,Sales Executive,7,7,0,7
51,0,Travel Rarely,1469,Research & Development,8,4,81,Research Director,10,9,4,7
30,1,Travel Rarely,1005,Research & Development,3,3,88,Research Scientist,5,2,0,4
41,0,Travel Rarely,896,Sales,6,3,75,Manager,1,0,0,0
30,1,Travel Frequently,334,Sales,26,4,52,Sales Executive,6,3,0,1
29,1,Travel Rarely,992,Research & Development,1,3,85,Research Scientist,6,2,1,5
45,0,Non-Travel,1052,Sales,6,3,57,Sales Executive,19,7,12,8
54,0,Travel Rarely,1147,Sales,3,3,52,Sales Executive,6,2,0,5
36,0,Travel Rarely,1396,Research & Development,5,2,62,Laboratory Technician,13,11,3,7
33,0,Travel Rarely,147,Research & Development,4,4,47,Research Scientist,3,2,1,1
37,0,Travel Frequently,663,Research & Development,11,3,47,Research Director,10,8,0,7
38,0,Travel Rarely,119,Sales,3,3,76,Sales Executive,16,10,5,13
31,0,Non-Travel,979,Research & Development,1,4,90,Manufacturing Director,5,4,1,4
59,0,Travel Rarely,142,Research & Development,3,3,70,Research Scientist,1,0,0,0
37,0,Travel Frequently,319,Sales,4,4,41,Sales Representative,9,8,5,8
29,0,Travel Frequently,1413,Sales,1,1,42,Sales Executive,11,10,4,1
35,0,Travel Frequently,944,Sales,1,3,92,Sales Executive,10,7,0,8
29,1,Travel Rarely,896,Research & Development,18,1,86,Research Scientist,4,3,0,1
52,0,Travel Rarely,1323,Research & Development,2,3,89,Laboratory Technician,2,2,2,2
42,0,Travel Rarely,532,Research & Development,4,2,58,Manager,22,17,11,15
59,0,Travel Rarely,818,Human Resources,6,2,52,Human Resources,2,2,2,2
50,0,Travel Rarely,854,Sales,1,4,68,Manager,7,0,0,6
33,1,Travel Rarely,813,Research & Development,14,3,58,Laboratory Technician,5,4,0,4
43,0,Travel Rarely,1034,Sales,16,3,80,Manager,17,13,1,9
33,1,Travel Rarely,465,Research & Development,2,2,39,Laboratory Technician,9,7,1,7
52,0,Non-Travel,771,Sales,2,4,79,Manager,33,7,15,12
32,0,Travel Rarely,1401,Sales,4,2,56,Sales Representative,4,3,1,2
32,1,Travel Rarely,515,Research & Development,1,3,62,Laboratory Technician,3,2,1,2
39,0,Travel Rarely,1431,Research & Development,1,4,96,Laboratory Technician,3,2,1,2
32,0,Non-Travel,976,Sales,26,4,100,Sales Executive,3,2,2,2
41,0,Travel Rarely,1411,Research & Development,19,2,36,Research Scientist,1,0,0,0
40,0,Travel Rarely,1300,Research & Development,24,2,62,Research Scientist,9,8,4,7
45,0,Travel Rarely,252,Research & Development,1,3,70,Manager,24,0,1,7
31,0,Travel Frequently,1327,Research & Development,3,4,73,Research Director,2,2,2,2
33,0,Travel Rarely,832,Research & Development,5,4,63,Research Scientist,2,2,0,2
34,0,Travel Rarely,470,Research & Development,2,4,84,Manufacturing Director,11,9,5,9
37,0,Travel Rarely,1017,Research & Development,1,2,83,Research Scientist,3,1,0,2
45,0,Travel Frequently,1199,Research & Development,7,4,77,Manufacturing Director,3,2,0,2
37,1,Travel Frequently,504,Research & Development,10,3,61,Manufacturing Director,1,0,0,0
39,0,Travel Frequently,505,Research & Development,2,4,64,Healthcare Representative,19,6,11,8
29,0,Travel Rarely,665,Research & Development,15,3,60,Research Scientist,6,5,1,5
42,0,Travel Rarely,916,Research & Development,17,2,82,Research Scientist,3,2,0,2
29,0,Travel Rarely,1247,Sales,20,2,45,Sales Executive,3,2,0,2
25,0,Travel Rarely,685,Research & Development,1,3,62,Manufacturing Director,4,2,1,2
42,0,Travel Rarely,269,Research & Development,2,3,56,Laboratory Technician,9,6,7,8
40,0,Travel Rarely,1416,Research & Development,2,2,49,Research Director,21,7,3,9
51,0,Travel Rarely,833,Research & Development,1,3,96,Research Scientist,1,0,0,0
31,1,Travel Frequently,307,Research & Development,29,2,71,Laboratory Technician,5,4,1,4
32,0,Travel Frequently,1311,Research & Development,7,3,100,Laboratory Technician,5,1,0,3
38,0,Non-Travel,1327,Sales,2,2,39,Sales Executive,8,7,7,5
32,0,Travel Rarely,128,Research & Development,2,1,84,Laboratory Technician,6,2,0,4
46,0,Travel Rarely,488,Sales,2,3,75,Manager,7,7,7,7
28,1,Travel Rarely,529,Research & Development,2,4,79,Laboratory Technician,0,0,0,0
29,0,Travel Rarely,1210,Sales,2,3,78,Sales Executive,0,0,0,0
31,0,Travel Rarely,1463,Research & Development,23,3,64,Healthcare Representative,9,0,7,8
25,0,Non-Travel,675,Research & Development,5,2,85,Healthcare Representative,6,3,1,5
45,0,Travel Rarely,1385,Research & Development,20,2,79,Healthcare Representative,20,7,4,10
36,0,Travel Rarely,1403,Research & Development,6,3,47,Laboratory Technician,15,13,10,11
55,0,Travel Rarely,452,Research & Development,1,3,81,Manager,36,10,4,13
47,1,Non-Travel,666,Research & Development,29,4,88,Manager,10,7,9,9
28,0,Travel Rarely,1158,Research & Development,9,3,94,Research Scientist,5,2,0,4
37,0,Travel Rarely,228,Sales,6,4,98,Sales Executive,5,4,0,1
21,0,Travel Rarely,996,Research & Development,3,2,100,Research Scientist,3,2,1,0
37,0,Non-Travel,728,Research & Development,1,4,80,Research Director,5,2,0,2
35,0,Travel Rarely,1315,Research & Development,22,3,71,Manager,7,7,6,2
38,0,Travel Rarely,322,Sales,7,2,44,Sales Executive,8,0,7,7
26,0,Travel Frequently,1479,Research & Development,1,3,84,Manufacturing Director,6,5,1,4
50,0,Travel Rarely,797,Research & Development,4,1,96,Research Director,10,4,1,6
53,0,Travel Rarely,1070,Research & Development,3,4,45,Research Director,5,3,1,3
42,0,Travel Rarely,635,Sales,1,1,99,Sales Executive,20,16,11,6
29,0,Travel Frequently,442,Sales,2,2,44,Sales Executive,10,7,0,9
55,0,Travel Rarely,147,Research & Development,20,2,37,Laboratory Technician,10,7,0,8
26,0,Travel Frequently,496,Research & Development,11,2,60,Healthcare Representative,5,3,3,3
37,0,Travel Rarely,1372,Research & Development,1,3,42,Research Scientist,17,12,5,7
44,1,Travel Frequently,920,Research & Development,24,3,43,Laboratory Technician,1,0,0,0
38,0,Travel Rarely,688,Research & Development,23,4,82,Healthcare Representative,2,2,1,2
26,1,Travel Rarely,1449,Research & Development,16,4,45,Laboratory Technician,3,2,0,2
28,0,Travel Rarely,1117,Research & Development,8,2,66,Research Scientist,5,3,0,2
49,0,Travel Frequently,636,Research & Development,10,4,35,Research Director,3,2,1,2
36,0,Travel Rarely,506,Research & Development,3,3,30,Research Scientist,8,0,7,7
31,0,Travel Frequently,444,Sales,5,3,84,Sales Representative,2,2,2,2
26,1,Travel Rarely,950,Sales,4,4,48,Sales Executive,8,7,7,4
37,0,Travel Frequently,889,Research & Development,9,3,53,Research Scientist,4,2,1,2
42,0,Travel Frequently,555,Sales,26,3,77,Sales Executive,20,4,4,8
18,1,Travel Rarely,230,Research & Development,3,3,54,Laboratory Technician,0,0,0,0
35,0,Travel Rarely,1232,Sales,16,3,96,Sales Executive,11,9,6,9
36,0,Travel Frequently,566,Research & Development,18,4,81,Laboratory Technician,1,0,0,0
51,0,Travel Rarely,1302,Research & Development,2,3,84,Manufacturing Director,4,1,1,2
41,0,Travel Rarely,334,Sales,2,4,88,Manager,22,10,0,4
18,0,Travel Rarely,812,Sales,10,3,69,Sales Representative,0,0,0,0
28,0,Travel Rarely,1476,Research & Development,16,2,68,Healthcare Representative,8,3,0,7
31,0,Travel Rarely,218,Sales,7,3,100,Sales Executive,8,7,7,7
39,0,Travel Rarely,1132,Research & Development,1,3,48,Healthcare Representative,18,10,3,7
36,0,Non-Travel,1105,Research & Development,24,4,47,Laboratory Technician,9,8,0,8
32,0,Travel Rarely,906,Sales,7,3,91,Sales Executive,13,8,4,8
38,0,Travel Rarely,849,Research & Development,25,2,81,Research Director,10,8,0,1
58,0,Non-Travel,390,Research & Development,1,4,32,Healthcare Representative,5,3,1,2
31,0,Travel Rarely,691,Research & Development,5,4,86,Research Scientist,5,2,0,3
31,0,Travel Rarely,106,Human Resources,2,3,62,Human Resources,2,2,1,0
45,0,Travel Frequently,1249,Research & Development,7,3,97,Laboratory Technician,24,9,9,11
31,0,Travel Rarely,192,Research & Development,2,4,32,Research Scientist,2,2,2,2
33,0,Travel Frequently,553,Research & Development,5,4,74,Manager,10,6,8,8
39,0,Travel Rarely,117,Research & Development,10,1,99,Manager,21,9,11,10
43,0,Travel Frequently,185,Research & Development,10,4,33,Laboratory Technician,8,7,1,7
49,0,Travel Rarely,1091,Research & Development,1,2,90,Healthcare Representative,7,1,0,7
52,1,Travel Rarely,723,Research & Development,8,4,85,Research Scientist,8,2,7,7
27,0,Travel Rarely,1220,Research & Development,5,3,85,Research Scientist,4,3,1,2
32,0,Travel Rarely,588,Sales,8,2,65,Sales Executive,13,12,11,9
27,0,Travel Rarely,1377,Sales,2,3,74,Sales Executive,5,4,0,4
31,0,Travel Rarely,691,Sales,7,3,73,Sales Executive,7,7,1,7
32,0,Travel Rarely,1018,Research & Development,2,4,74,Research Scientist,7,7,0,7
28,1,Travel Rarely,1157,Research & Development,2,4,84,Research Scientist,3,2,2,2
30,0,Travel Rarely,1275,Research & Development,28,2,64,Research Scientist,10,8,1,9
31,0,Travel Frequently,798,Research & Development,7,2,48,Manufacturing Director,10,9,8,9
39,0,Travel Frequently,672,Research & Development,7,2,54,Manager,21,9,13,3
39,1,Travel Rarely,1162,Sales,3,2,41,Sales Executive,1,0,0,0
33,0,Travel Frequently,508,Sales,10,3,46,Sales Executive,7,7,0,1
47,0,Travel Rarely,1482,Research & Development,5,5,42,Research Director,3,2,1,1
43,0,Travel Frequently,559,Research & Development,10,4,82,Laboratory Technician,9,7,0,0
27,0,Non-Travel,210,Sales,1,1,73,Sales Executive,5,4,1,4
54,0,Travel Frequently,928,Research & Development,20,4,31,Research Scientist,4,3,0,3
43,0,Travel Rarely,1001,Research & Development,7,3,43,Healthcare Representative,1,0,0,0
45,0,Travel Rarely,549,Research & Development,8,4,75,Research Scientist,10,9,9,8
