,Name,Online_order,Book_table,Rate,Dish_liked,Approx_cost(for two people)
1753,Shan-e-Punjabi Express,1,No,3.1 out of 5,Chicken Biryani,400
1754,Paradise,1,Yes,3.9 out of 5,"Chicken Biryani, Mutton Biryani, Vegetable Biryani, Mutton Seekh Kebab, Hyderabadi Dum Biryani, Chicken Tenders, Egg Biryani",800
1755,Corner House Ice Cream,1,No,4.5 out of 5,"Ice Cream Sundae, Fruit Salad, Hot Chocolate Fudge, Brownie, Chocolate Mousse, Chocolate Icecreams, Almond Fudge",400
1756,Stonelicious,1,No,4.1 out of 5,"Waffles, Chocolate Avalanche, Chocolate Volcano, Lava Cake",300
1757,Udupi Delux,0,No,2.6 out of 5,"Ginger Tea, Roti, Dal Tadka, Naan, Rava Masala Dosa",400
1758,Kritunga Restaurant,0,No,2.9 out of 5,"Bhindi Fry, Paneer Biryani, Bamboo Chicken, Vegetable Biryani, Mushroom Biryani, Sweet Corn Soup, Butter Naan",650
1759,Rekha Restaurant,0,No,3.6 out of 5,"Fish, Paratha, Fried Rice",450
1760,Cold Stone Creamery,1,No,4.3 out of 5,"Chocolate Devotion, Pomegranate Sorbet, Waffles, Brownie, Apple Pie, Cheesecake Ice Cream, Coffee",400
1761,Foodies Delight,1,No,3.8 out of 5,"Sandwich, Gujarati Food, Pav Bhaji, Tea, Thali, Panipuri",400
1762,Ovenstory Pizza,1,No,4.1 out of 5,"Chocolava, Paneer Pizza",750
1763,Biggies Burger 'n' More,1,No,3.8 out of 5,"Burgers, Fries, Mojito, Coffee, Hot Dog, American Cheese Burger",650
1764,TBC - The Breakfast Company,1,No,3.8 out of 5,"Poha, Aloo Paratha",150
1765,Shanmukha,1,No,4.0 out of 5,"Raita, Chicken Biryani, Mutton Biryani, Vegetable Biryani, Chicken Curry, Prawn, Gulab Jamun",800
1766,Office Lunch Box,1,No,3.7 out of 5,"Chicken Curry, Biryani",200
1767,Desi Khana,1,No,3.4 out of 5,"Dal Makhani, Paneer Thali",300
1768,Mast Kalandar,0,No,2.4 out of 5,"Chaat, Buttermilk, Paneer Bhurji, Gaon Ki Thali, Paratha, Gulab Jamun, Chole",450
1769,Onesta,1,Yes,4.6 out of 5,"Mojito, Pasta, Bbq Chicken Pizza, Butter Chicken Pizza, Farmhouse Pizza, Ricotta Ravioli, Roast Chicken Pizza",600
1770,U.P. Dhaba,1,No,2.8 out of 5,"Paratha, Paneer Thali, Tandoori Roti, Chole Bhature",350
1771,KFC,1,No,2.8 out of 5,"Hot Wings, Burgers, Fries",400
1772,Windy- Taste Of Home,1,Yes,3.6 out of 5,"Thali, Biryani, Aloo Paratha",300
1773,Dunkin' Donuts,1,No,4.0 out of 5,"Donut, Burgers, Eclair, Hot Chocolate",550
1774,Brew and Barbeque - A Microbrewery Pub,1,Yes,4.7 out of 5,"Bbq Platter, Craft Beer, Cocktails, Nachos, Pizza, Cosmopolitan, Wheat Beer","1,400"
1775,Al-Bek,1,No,3.6 out of 5,Mutton Biryani,300
1776,Punjabi Twist,1,No,4.1 out of 5,"Thali, Salad, Palak Paneer, Chicken Curry, Butter Chicken, Buttermilk, Shahi Paneer",300
1777,Sidewalk - The Garden Bar,1,Yes,4.5 out of 5,"Veg Burger, Pesto Pasta, Cocktails, Pizza, Craft Beer, Chicken Steak, Prawn","1,300"
1778,Chaat Street,1,No,4.1 out of 5,"Chaat, Pav Bhaji, Tea, Samosa, Vada Pav, Panipuri, Bhel Puri",250
1779,Thalassery Restaurant,1,No,3.0 out of 5,"Kadala Curry, Appam, Shawarma Roll, Mutton Stew, Tea, Thalassery Biryani, Chicken Fry",500
1780,North Wale Restaurant,0,No,2.9 out of 5,Tandoori Chicken,800
1781,Radha Rani,1,No,3.3 out of 5,"Fish, Veg Thali, Biryani",400
1782,Chickpet Donne Biryani House,1,No,3.7 out of 5,"Donne Biryani, Chicken Biryani, Mutton Biryani",600
1783,Sorse,1,Yes,4.0 out of 5,"Fish, Prawn Malai Curry, Mishti Doi, Dhokar Dalna, Biryani, Mutton Kosha, Malpua",750
1784,Nizam's Biryani House,1,No,3.9 out of 5,"Hyderabadi Biryani, Tikka, Chicken Biryani, Chicken Lollipop, Paneer Kulcha","1,000"
1785,Le Charcoal,1,Yes,3.9 out of 5,"Gajar Ka Halwa, Tandoori Chicken, Gulab Jamun, Mutton Seekh Kebab, Al Faham Chicken, Mutton Biryani, Fish",600
1786,Galito's,1,Yes,4.6 out of 5,"Garlic Bread, Peri Peri Chicken, Burgers, Chicken Grill, Peri Fries, Mocktails, Paneer Burger","1,000"
1787,Delhi Walle,1,No,3.9 out of 5,"Chole Bhature, Deluxe Thali, Lassi, Chaat, Aloo Paratha, Soya Chaap Biryani, Dahipuri",300
1788,Lassi Corner,1,No,3.7 out of 5,"Lassi, Brownie, Faluda, Kulfi, Coffee",300
1789,Delhi Kitchen,1,No,2.9 out of 5,Paratha,400
1790,Nandighosha,1,No,3.6 out of 5,"Fish Curry, Dal Makhani, Khichda, Chicken Handi",400
1791,Coastal Hub,1,Yes,4.0 out of 5,"Kerala Parotta, Appam, Ghee Rice, Sea Food, Paratha, Chicken Dum Biryani, Beef Fry",700
1792,Andhra Biryanis,1,No,4.0 out of 5,Biryani,700
1793,Suryawanshi,1,No,4.1 out of 5,"Misal Pav, Mutton Fry, Malwani Food, Mutton Thali, Chicken Fry, Sabudana Vada, Chicken Handi",700
1794,9D Foods,1,No,4.0 out of 5,"Kheer, Paneer Chatpata, Mango Lassi, Thali, Paratha, Gulab Jamun, Buttermilk",400
1795,Behrouz Biryani,1,No,3.9 out of 5,"Raita, Gulab Jamun, Basmati Rice, Gosht Dum Biryani",650
1796,The Fat Chef,1,Yes,4.1 out of 5,"Caesar Salad, Khao Suey, Beef Steak, Veggie Pizza, Pasta, Peri Peri Chicken Pizza, Mousse","1,400"
1797,New Paratha Corner,1,No,3.9 out of 5,"Rice, Paratha, Thali",350
1798,The Egg Factory,1,No,4.0 out of 5,"French Toast, Pasta, Egg Pav Bhaji, Khau Suey, Shakshouka, Chicken Burger, Omelette",750
1799,Daily Sushi,1,No,3.8 out of 5,"Sushi, Ramen, Noodles",900
1800,Punjabi Kitchen,1,No,3.6 out of 5,"Butter Naan, Paratha, Kulcha, Butter Chicken, Shawarma, Roti, Thali",400
1801,Boondock Bistro,1,Yes,4.0 out of 5,"Burgers, Steak, Baconator Burger, Chicken Bbq Wings, Cream Soup, Sandwiches, Pasta",900
1802,Healthie,1,No,3.9 out of 5,"Sandwiches, Rice Bowl, Chicken Grill",600
1803,Cakesta,1,No,4.1 out of 5,"Eggless Cake, Choco Mocha, Choco Almond, Blueberry Cake, Chocolate Cake, Choco Strawberry",500
1804,Mani's Dum Biryani,1,No,3.9 out of 5,"Raita, Dum Biryani, Chicken Kebab Biryani",750
1805,Bangaliana,1,No,3.6 out of 5,"Rasgulla, Mutton Kosha, Luchi, Fish Cutlet, Aloo Posto, Alur Dom, Thali",600
1806,Litti House,1,No,3.9 out of 5,"Liti Chokha, Litti, Sattu Paratha, Dal Bati, Thali, Roti",300
1807,Sherlock's Pub,1,Yes,3.5 out of 5,"Pasta, Beer, Pepper Chicken, Onion Rings, Mocktails, Supreme Pizza, Fish Finger","1,500"
1808,Leon Grill,1,No,4.0 out of 5,"Burgers, Fries, Chicken Jumbo Burger, Salads, Jumbo Royale Burger, Peri Peri Wrap, Peri Peri Chicken Burger",450
1809,Green Hyderabad Biryani House,1,No,3.8 out of 5,"Lassi, Hyderabadi Biryani, Tandoori Chicken, Lemon Chicken, Chicken Dum Biryani, Prawn Biryani, Chicken Boneless Biryani",800
1810,Cafesta,1,No,4.3 out of 5,"Burgers, Waffles, Coffee, Chocolava, Pasta, Chocolate Cake, Brownie",550
1811,Nagas,1,No,3.5 out of 5,"Biryani, Chilli Chicken",500
1812,Taste Of India Family Restaurant,1,No,3.4 out of 5,"Mutton Biryani, Roti",400
1813,Hyderabad Biryaani House,1,No,3.5 out of 5,"Chicken Biryani, Mutton Biryani, Hyderabadi Biryani, Vegetable Biryani",550
1814,Chefactory Gold by Flechazo,1,No,3.7 out of 5,"Chicken Tikka Biryani, Hyderabadi Chicken Dum Biryani, Raita, Paneer Tikka, Sandwich, Chicken Malai Tikka, Grilled Mushrooms",700
1815,Chulha Chauki Da Dhaba,1,No,4.1 out of 5,"Jal-jeera, Stuffed Kulcha, Punjabi Chicken Masala, Tandoori Chicken, Egg Curry, Sweet Lassi, Dal Makhani","1,000"
1816,RoadHouse Grill,1,No,3.8 out of 5,"Burgers, Chicken Roll, Rolls, Fries, Wings, Tandoori Momos, Chicken Grill",450
1817,Chai Point,1,No,3.8 out of 5,"Banana Cake, Chai, Lemon Tea, Ginger Tea, Masala Tea",250
1818,eat.fit,1,No,4.4 out of 5,"Hyderabadi Chicken, Murgh Khurchan, Rajma, Brownie Chocolate, Cabbage Salad, Raita, Chicken Curry",500
1819,You Mee,1,No,4.7 out of 5,"Ramen, Sushi Bar, Pork Dumplings, Prawn, Maki Roll, Japanese Green Tea, Thai Red Curry","2,000"
1820,Akshara,1,No,4.0 out of 5,"Fry Prawns, Biryani, Andhra Thali, Neer Dosa, Kokum Juice, Masala Prawn, Brinjal Curry","1,000"
1821,Just Shawarma,1,No,3.8 out of 5,"French Fries, Whole Meat Shawarma, Chicken Shawarama",300
1822,BIB-Breakfast in the Box,1,No,3.7 out of 5,"French Fries, Burgers, English Breakfast, Pancakes, Corn Sandwich, Chicken Burger, Bacon Fry",600
1823,nu.tree,1,No,4.3 out of 5,"Healthy Breakfast, Kadhi, Sprout Salad, Rajma Chawal, Salads, Onion Paratha, Dal Makhani",400
1824,Dil Se Dilli,1,No,3.8 out of 5,"Murgh Kalimirch, Panneer Butter Masala, Rolls, Butter Naan, Butter Chicken, Malai Tikka, Phirni",700
1825,Rajdhani Thali Restaurant,1,Yes,3.8 out of 5,"Veg Thali, Aamras, Samosa, Buttermilk, Dal Bati Churma, Rajdhani Thali, Dhokla",900
1826,Barkaas,1,Yes,4.3 out of 5,"Fish, Falafel, Mutton Shorba, Biryani, Pita Bread, Chicken Steak, Kunafa","1,000"
1827,Khan Saheb Grills and Rolls,1,No,3.8 out of 5,"Rolls, Chicken Tikka Roll, Chicken Bhuna Roll, Biryani, Lassi, Paneer Bhurji Roll, Beda Roti",350
1828,Simhapuri Kitchen,1,Yes,4.0 out of 5,"Hyderabadi Biryani, Gongura Biryani, Butter Naan, Vegetarian, Mutton Biryani, Ghee Karam Dosa, Tandoori Chicken",800
1829,Bobacha,1,No,4.1 out of 5,"Waffles, Fruit Tea, Pearl Milk Tea",300
1830,Punjab Grill,1,No,4.9 out of 5,"Kadai Paneer, Kulfi, Kadhai Paneer, Dahi Kebab, Butter Chicken, Murgh Lababdar, Lunch Buffet","2,000"
1831,Biryani Kitchen,1,No,4.3 out of 5,"Chicken Boneless Biryani, Hyderabadi Dum Biryani, Raita, Mutton Biryani, Prawn Biryani, Vegetable Biryani, Hyderabadi Chicken Biryani",450
1832,Odisha Platter,1,No,3.8 out of 5,"Mutton Thali, Mutton Curry, Veg Thali",350
1833,Goli Vada Pav No. 1,1,No,3.7 out of 5,"Sabudana Vada, Kulfi, Schezwan Vada Pav, Ginger Tea",200
1834,Desi Bites,1,No,3.9 out of 5,Paratha,250
1835,Keventers,1,No,3.6 out of 5,"Milk Shake, Thick Shakes",400
1836,@ Biryani Central,1,No,2.7 out of 5,"Hyderabadi Biryani, Mutton Biryani, Dal Fry",550
1837,Bangalore Mandarin,1,No,4.2 out of 5,"Singapore Noodles, Kung Pao Chicken, Mixed Fried Rice, Corn Fritters, Clear Soup, Fish, Rice Noodles","1,100"
1838,Masala Chai,1,No,4.1 out of 5,"Masala Chai, Sandwiches, Samosa, Masala Tea, Ice Tea, Bombay Sandwich, Chicken Mayo Sandwich",250
1839,Chatpata India,1,No,3.9 out of 5,"Chaat, Raj Kachori",400
1840,Oliver's Pub & Diner,1,Yes,3.9 out of 5,"Pizza, Beer, Cocktails, Nachos, Pasta, Moo Burger, Noodles","1,500"
1841,Biriyani Zone,1,No,3.9 out of 5,"Plain Rice, Hyderabadi Biryani, Panneer Butter Masala, Mutton Biryani, Tandoori Chicken, Chicken Boneless Biryani, Vegetable Biryani",800
1842,New Punjabi Tasty Khana,1,No,3.0 out of 5,"Laccha Paratha, Butter Naan, Roti, Vegetable Biryani",400
1843,Glen's Bakehouse,1,Yes,4.2 out of 5,"Pizza, Cheesecake, Pasta, Risotto, Chicken Burger, Sandwich, Hot Chocolate",600
1844,Chin Chin by The Biere Club,1,Yes,4.2 out of 5,"Wheat Beer, Cocktails, Singapore Noodles, Mushroom Dumpling, Dumplings, Spring Roll, Pork Ribs","1,500"
1845,Stoner,1,No,4.3 out of 5,"Burgers, Paan Ice Cream, Butter Chicken Pizza, Peri Peri Chicken Burger, Caramel Custard, Cheesecake, Hot Chocolate",500
1846,NH8,1,Yes,4.1 out of 5,"Rasgulla, Dal Bati, Rajasthani Thali, Kachori, Churma, Jal-jeera, Rasmalai",800
1847,Toscano,1,Yes,4.3 out of 5,"Pizza, Pasta, Mocktails, Tiramisu, Salads, Cocktails, Sea Food","1,500"
1848,Real Fresh Dosa Corner,1,No,4.2 out of 5,"Plain Dosa, Palak Dosa, Mushroom Dosa",200
1849,Tall Blonde French,1,No,3.7 out of 5,"French Fries, Peri Peri Fries",400
1850,New Tandoori Point,1,No,2.4 out of 5,"Biryani, Tandoori Chicken",600
1851,East Delicious,1,No,4.0 out of 5,"Noodles, Momos, Chicken Dumplings, Chicken Momo, Chowmein, Honey Chilli Potatoes, Thukpa",600
1852,Rolls Plaza,1,No,3.7 out of 5,"Rolls, Rice, Biryani",200
1853,Suchithra Biryani House,1,No,4.0 out of 5,"Chicken Guntur, Hyderabadi Biryani, Ghee Roast Biryani, Chicken Dum Biryani, Chicken Boneless Biryani, Vegetable Biryani, Raita",500
1854,Hind Ka Chulah,1,No,3.7 out of 5,"Biryani, Tandoori Chicken, Tandoori Roti, Chicken Tikka, Paratha, Salad, Raita",600
1855,Vegtaurant,1,No,3.7 out of 5,Paratha,300
1856,Kapoor's Cafe,0,No,4.2 out of 5,"Paratha, Matka Lassi, Rabri, Masala Soda, Chaach, Veg Kolhapuri, Punjabi Lassi",800
1857,The Dhaba,0,Yes,2.7 out of 5,"Paratha, Vegetarian, Makke Ki Roti, Curd Rice, Chicken Biryani, Malai Kofta, Sweet Lassi",900
1858,Bhagini IRIS,0,No,3.6 out of 5,"Biryani, Tandoori Chicken, Curd Rice, Kalmi Kebab, Chilli Chicken, Chicken Tikka Masala",600
1859,Bhagini Kitchen And Bar,0,No,3.8 out of 5,Biryani,"1,100"
1860,Apsara Ice Cream,0,No,4.0 out of 5,Guava Ice Cream,200
1861,Sai Foods,0,No,4.1 out of 5,"Paratha, Veg Thali, Chole Bhature, Gulab Jamun, Lassi, Dal Fry, Roti",200
1862,Kabab Mirchi,0,No,3.4 out of 5,"Chicken Grill, Dal Fry, Arabian Grape Juice, Rumali Roti, Shawarma Roll",350
1863,Annapurna Bengali Restaurant,0,No,3.9 out of 5,"Fish Curry, Chicken Curry",500
1864,California Burrito,0,No,3.9 out of 5,"Rice Bowl, Nachos, Rice Bowls, California Burrito, Burrito Bowl, Salads, Tacos",400
1865,Food Point,0,No,3.2 out of 5,"Biryani, Paratha, Tandoori Chicken, Butter Chicken, Dal Makhani",450
1866,Wok With Chung,0,No,3.8 out of 5,"Noodles, Drunken Chicken Wings, Chicken Satay, Golden Fried Prawns, Mushroom Manchurian, Spring Roll, Chop Suey","1,000"
1867,Hyderabad Cuisine Multicuisine Restaurant,0,No,3.7 out of 5,"Spring Roll, Butter Naan, Fish, Haleem, Panneer Butter Masala, Roti, Hyderabadi Chicken Biryani",700
1868,Hyderabad Cuisine,0,No,2.8 out of 5,"Kori Roti, Fish, Sea Food",650
1869,Ammi's Biryani,0,No,2.1 out of 5,"Chicken Guntur, Vegetable Biryani, Executive Chicken Biryani, Mutton Biryani, Hyderabadi Chicken Biryani",500
1870,Prajwal The Restaurant,0,No,3.3 out of 5,"Paratha, Thali",300
1871,Cafe of Joy,0,No,3.7 out of 5,"Breads, Cappuccino, Cheesecake",600
1872,ReadyBowl,0,No,3.4 out of 5,Gongura Chicken Biryani,400
1873,Kailash Parbat,0,No,2.6 out of 5,"Chaat, Gulab Jamun, Raj Kachori, Chole, Bhel Puri, Biryani, Veg Thali",400
1874,Hello Curry,0,No,2.8 out of 5,"Butter Chicken, Kadai Paneer, Raita, Vegetable Biryani, Paneer Makhani, Dal Makhani",600
1875,Happy Kitchen,0,No,3.8 out of 5,"Biryani, Idli, Vada, Chicken Curry",350
1876,Noibidya,0,No,3.5 out of 5,Fish,400
1877,New Udupi Delicacy,1,No,3.9 out of 5,"Filter Coffee, Plain Dosa",250
1878,Dakshin Spice,1,Yes,3.8 out of 5,"Mutton Keema Biryani, Panneer Butter Masala, Pot Biryani, Vegetable Biryani, Thali, Dal Makhani, Tangdi Kabab",800
1879,Moriz Restaurant,1,No,2.8 out of 5,"Al Faham Chicken, Kalmi Kebab, Bbq Chicken, Chicken Tikka, Shawarma, Malabari Biryani, Chicken Wrap",750
1880,New Food Magic,1,No,3.7 out of 5,"Biryani, Paratha",400
1881,Chef Baker's,1,No,2.8 out of 5,"Brownie Chocolate, Donut",450
1882,Cafe Petu,1,No,3.8 out of 5,"Paratha, Pizza Parantha, Tea, Sandwich, Honey Chilli Potatoes, Pasta Alfredo, Coffee",300
1883,Rafoo Chakkar,1,No,3.9 out of 5,"Veg Tandoori Momos, Keema Pav, Butter Chicken, Pav Bhaji, Rolls, Galauti Kebab, Achari Paneer",300
1884,Amaravati Authentic Andhra Restaurant,1,No,3.0 out of 5,"Thali, Chilli Chicken, Chicken Curry, Andhra Meal, Vegetable Biryani",600
1885,Nanda's,1,No,3.6 out of 5,"Chicken Guntur, Andhra Meal, Hyderabadi Chicken Biryani, Butter Naan, Andhra Thali",650
1886,Master Chifoo,1,No,3.9 out of 5,Momos,800
1887,Dhaba Social,1,No,4.0 out of 5,"Tandoori Chicken, Chicken Malai Tikka, Lassi, Tandoori Aloo, Paneer Lababdar, Kalmi Kabab, Bruschettas",700
1888,99 Caffe,1,No,3.6 out of 5,"Mudpie, Sandwich, Masala Dosa, Hot Coffee, Pasta, Pizza Dosa, Paratha",250
1889,Kabab Magic,1,No,3.0 out of 5,"Chicken Grill, Shawarma, Biryani, Grape Juice, Rolls, Paratha, Chicken Tikka Roll",500
1890,Ginger & Garlic,1,No,3.6 out of 5,"Biryani, Chicken Curry",350
1891,Zeeshan,1,No,3.6 out of 5,Mutton Biryani,700
1892,Puchkas,1,No,4.1 out of 5,"Chaat, Panipuri, Jalebi, Vada Pav, Samosa, Gol Gappe, Chole Bhature",200
1893,Desi Doze,1,No,3.8 out of 5,"Lassi, Paratha, Chaach, Chole Bhature, Thali",400
1894,Kakaji,1,No,3.7 out of 5,"Thali, Lassi, Rice, Chole Bhature, Paratha, Dal Makhani, Dal Tadka",350
1895,Andhra Ruchulu,1,No,3.7 out of 5,Biryani Combo,500
1896,South House,1,No,3.8 out of 5,"Egg Biryani, Roti, Mutton Biryani, Chicken Chettinad",800
1897,Oakleaf,1,No,3.9 out of 5,Salmon,"2,000"
1898,Kidilum,1,No,3.8 out of 5,"Beef Fry, Appam, Chicken Curry, Kerala Parotta, Idiyappam, Egg Curry, Biryani",350
1899,Pot Biryani,1,No,3.1 out of 5,Dum Biryani,600
1900,Friends Diner,1,No,2.8 out of 5,"Chicken Steak, Cheese Balls",700
1901,Sanjha Chulha,1,Yes,4.0 out of 5,"Vegetable Biryani, Paneer Tikka Masala, Butter Chicken, Faluda, Dal Makhani, Tandoori Chicken, Chicken Biryani",800
1902,Raapchick,1,No,3.6 out of 5,Burgers,300
1903,Chinese Street,1,No,3.1 out of 5,"Noodles, Momos",550
1904,Mist n Creams,1,No,3.8 out of 5,Friendly Staff,400
1905,Andhra Kafe,1,No,3.8 out of 5,"Biryani, Thali, Lemon Tea, Lassi, Coffee, Masala Paneer, Roti",550
1906,Treat Restaurant,1,No,2.8 out of 5,"Appam, Egg Curry",400
1907,Freshkhilao,1,No,3.4 out of 5,"Chicken Grill, Masala Papad, Shawarma, Mutton Kosha, Paratha, Kalmi Kebab, Gulab Jamun",750
1908,Aashish Foods,1,No,2.7 out of 5,Paratha,150
1909,Haveli,1,No,3.7 out of 5,Biryani,700
1910,Chai Galli,1,No,4.2 out of 5,"Tea, Chai, Nachos, Poha, Veg Sandwich, Bombay Sandwich, Maggi",300
1911,Taco Bell,1,No,3.9 out of 5,"Tacos, Nachos, Pizza, Mexican Fries",600
1912,YumYumSouth,1,No,3.5 out of 5,Lemon Rice,600
1913,NYS Kitchen,1,No,3.7 out of 5,Pasta,500
1914,Konaseema Grand,1,No,3.2 out of 5,"Buttermilk, Chicken Biryani, Lassi, Tandoori Chicken, Bamboo Biryani, Mutton Biryani, Vegetable Biryani","1,000"
1915,Luscious Folks,1,No,3.9 out of 5,"Roti, Rice",250
1916,Golden Rice,1,No,4.2 out of 5,"Chicken Masala, Vegetable Biryani, Lassi, Paratha, Butter Naan, Butter Chicken, Veg Platter","1,000"
1917,Orzuv,1,Yes,3.8 out of 5,"Tabakh Maaz, Phirni, Mutton Kanti, Saffron Kahwa, Tea, Mutton Roganjosh, Meat Balls","1,100"
1918,Kudil Kerala Kitchen,1,No,3.8 out of 5,"Roast Chicken, Appam, Kadala Curry, Fish Fry",300
1919,Izakaya Gastro Pub,1,Yes,3.8 out of 5,"Beer, Chicken Guntur, Paneer Tikka, Fish, Noodles, Cocktails, Gulab Jamun","1,200"
1920,Hottey Smokey,1,No,3.8 out of 5,"Chicken Shashlik, Pasta, Veg Sizzler",500
1921,Rolls Mania,1,No,3.8 out of 5,Rolls,450
1922,The Grilled & Fried,1,No,3.2 out of 5,"Potato Fries, Chicken Curry",300
1923,Friendz Zone,1,No,3.6 out of 5,Chai,400
1924,Daniyal's,1,No,3.5 out of 5,"Phirni, Chicken Chaap, Mutton Biryani, Paratha",800
1925,Drunken Monkey,1,No,3.9 out of 5,Sandwich,400
1926,Petoo,1,No,4.0 out of 5,"Biryani, Gulab Jamun, Pav Bhaji",800
1927,Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,1,No,3.6 out of 5,"Burgers, Pasta, Chicken Sandwich, Chocolate Cake",500
1928,Kaka Food Corner,1,No,3.4 out of 5,"Panneer Butter Masala, Lassi",300
1929,Aaha,1,No,3.6 out of 5,"Paratha, Tandoori Chicken, Panneer Butter Masala, Chole Bhature",300
1930,Southern Spice,1,No,4.0 out of 5,"Hyderabadi Biryani, Palak Paneer, Veg Thali, Mushroom Biryani, Mutton Biryani",800
1931,Mum?s Kitchen,1,No,3.5 out of 5,"Paratha, Chole Bhature, Matar Paneer, Baingan Bartha",200
1932,Treat,1,No,3.8 out of 5,"Butter Chicken, Lassi, Thali, Dal Makhani, Mutton Roganjosh, Paneer Tikka, Malai Kofta",800
1933,Risalo Pizzeria,1,No,4.0 out of 5,"Veggie Pizza, French Fries",900
1934,Hashtag Kitchen,1,No,3.4 out of 5,"Ghee Rice, Biryani, Chicken Bharta, Roti",600
1935,Punjabi by Nature 2.0,1,No,4.2 out of 5,"Cocktails, Beer, Jalebi, Tandoori Chicken, Mocktails, Paneer Tikka, Galauti Kebab","1,600"
1936,Meghana Grand,1,No,3.5 out of 5,Chicken Biryani,800
1937,Bageecha,1,No,2.2 out of 5,"Schezwan Chicken, Butter Chicken, Beer, Onion Pakoda, Tandoori Chicken, Dal Makhani, Lemon Chicken",650
1938,Kaayal,1,No,3.2 out of 5,"Appam, Buttermilk, Idiyappam, Kerala Parotta, Chicken Curry, Paratha, Fish Fry",500
1939,Jade,1,Yes,3.7 out of 5,"Chicken Manchow Soup, Lime Soda, Clear Soup, Spring Roll, Veg Manchurian, Chilli Potatoes, Wonton Soup",750
1940,Five Spice Dining,1,No,3.6 out of 5,"Biryani, Fried Rice",750
1941,Shaan-E-Punjab,1,No,2.9 out of 5,"Butter Chicken, Chicken Tikka Masala, Paneer Tikka Masala, Sweet Lassi",500
1942,The Wok,1,No,2.8 out of 5,"Momos, Chop Suey",500
1943,Delhi Restaurant,1,No,3.6 out of 5,"Dal Makhani, Reshmi Kebab, Thali, Panneer Butter Masala, Naan, Rice, Masala Papad",350
1944,Amoeba Sports Bar,1,Yes,3.9 out of 5,"Pasta, Fish, Beer, Chicken Wings, Mocktails, Gulab Jamun, Lunch Buffet","1,000"
1945,Mughal Restaurant,1,No,3.3 out of 5,"Chicken Lollipop, Idiyappam, Chicken Biryani, Fried Rice, Roti, Kerala Parotta, Pepper Chicken",550
1946,Gelato Italiano,1,No,2.9 out of 5,"Cheesecake, Kulfi",200
1947,Happy Singh,1,No,3.8 out of 5,"Deluxe Thali, Mango Lassi, Hara Bhara Kebab, Jumbo Lassi, Jal-jeera, Amritsari Paneer, Gulab Jamun",900
1948,Decker's Lane,1,No,2.1 out of 5,"Rolls, Rasgulla, Fish Fry, Bhetki Paturi, Mutton Kosha, Veg Thali, Luchi",400
1949,Indian Tadka,1,No,3.7 out of 5,"Rice, Paratha, Chicken Tikka Biryani, Tandoori Chicken, Lassi, Dal Makhani, Punjabi Veg Thali",700
1950,Jaffa's Biryani,1,No,3.8 out of 5,"Mutton Biryani, Fish Biryani, Paneer Biryani, Egg Biryani, Vegetable Biryani, Raita, Hyderabadi Biryani",550
1951,Biryani Park,1,No,3.5 out of 5,Hyderabadi Biryani,500
1952,Sbarro,1,No,3.3 out of 5,"Garlic Bread, Pasta, Cheesy Pizza",500
1953,The Diner,1,No,3.6 out of 5,"Paneer Tikka Masala, Hyderabadi Chicken Biryani",700
1954,Nashta Pani -The Gujarat's Special,1,No,3.4 out of 5,"Thepla, Poha, Gujarati Food, Paratha, Chocolate Sandwich, Cheese Dabeli",200
1955,Mother's Food,1,No,3.9 out of 5,"Non Veg Thali, Egg Maggi",200
1956,Aahar Vihar,1,No,4.0 out of 5,"Mutton Curry, Aloo Paratha",250
1957,MealBox Inc.,1,No,4.0 out of 5,"Chaat, Pav Bhaji, Kheer, Aloo Paratha, Rabri, Sweet Lassi",800
1958,The Spice Pavillion,1,No,3.7 out of 5,"Panneer Butter Masala, Butter Chicken, Tangdi Kabab, Chicken Biryani, Roti, Vegetable Biryani",600
1959,Jalsa,1,Yes,4.2 out of 5,"Mutton Curry, Stuffed Mushroom, Laccha Paratha, Prawn, Multani Paneer Tikka, Butter Chicken, Murgh Patiala","1,500"
1960,Tastybites.com,1,No,3.7 out of 5,"Sandwiches, Chaat, Panipuri, Sandwich",150
1961,Apoorva Multi Cuisine Restaurant,1,No,3.9 out of 5,"Palak Paneer, Chicken Boneless Biryani, Tandoori Chicken, Butter Naan, Buttermilk, Dal Fry, Roti",750
1962,Kaafi Desi,1,No,4.1 out of 5,"Samosa, Jalebi, Rasmalai, Poha, Aloo Poori, Panipuri, Aloo Sabji",150
1963,Spicy House,1,No,3.7 out of 5,"Biryani, Raita",500
1964,Crunchie Corner,1,No,4.0 out of 5,"Waffles, Burgers, Pizza, Tea",450
1965,Namak Swad Anusaar,1,No,3.8 out of 5,"Papdi Chaat, Panneer Butter Masala, Tea, Paneer Lababdar, Biryani, Kullad Chai, Chicken Tikka Masala",400
1966,The London Shakes,1,No,4.1 out of 5,"Pasta, Burgers, Fries, Nachos, Exotic Garlic Bread, Pizza, Thick Shakes",300
1967,Beyond Elements,1,Yes,4.1 out of 5,"Masala Chaach, Dal Makhani, Pasta, Wood Fire Pizza, Sweet Lassi, Bharwan Mushroom, Paneer Tikka Masala",900
